,CustomerId,Surname,Name,Email,CreditScore,Geography,Gender,Age
0,15634602,Hargrave,Christopher,mataantonio@example.net,619,France,Female,42
1,15647311,Hill,Stephanie,jamesbaker@example.net,608,Spain,Female,41
2,15619304,Onio,Julie,kathryn47@example.org,502,France,Female,42
3,15701354,Boni,Jennifer,philipmurphy@example.com,699,France,Female,39
4,15737888,Mitchell,Hailey,xmorrison@example.org,850,Spain,Female,43
5,15574012,Chu,Kathleen,boydlynn@example.com,645,Spain,Male,44
6,15592531,Bartlett,Jennifer,beth81@example.com,822,France,Male,50
7,15656148,Obinna,Karen,angeladavis@example.org,376,Germany,Female,29
8,15792365,He,Krystal,amybenton@example.org,501,France,Male,44
9,15592389,Hiroshi,Andrea,kevin48@example.net,684,France,Male,27
10,15767821,Bearce,Jeremy,emily75@example.net,528,France,Male,31
11,15737173,Andrews,David,andreasmith@example.org,497,Spain,Male,24
12,15632264,Kay,Tony,fwalker@example.net,476,France,Female,34
13,15691483,Chin,Pamela,cathyconway@example.net,549,France,Female,25
14,15600882,Scott,Lisa,twhite@example.org,635,Spain,Female,35
15,15643966,Goforth,Natalie,alexandriabarrett@example.com,616,Germany,Male,45
16,15737452,Romeo,Aaron,paulwelch@example.net,653,Germany,Male,58
17,15788218,Henderson,Joshua,jenniferjohnson@example.com,549,Spain,Female,24
18,15661507,Muldrow,Marc,david59@example.net,587,Spain,Male,45
19,15568982,Hao,Laura,beckjoann@example.com,726,France,Female,24
20,15577657,McDonald,Devin,jenniferreese@example.com,732,France,Male,41
21,15597945,Dellucci,Dominic,michaelbowman@example.com,636,Spain,Female,32
22,15699309,Gerasimov,Rita,perrytammy@example.org,510,Spain,Female,38
23,15725737,Mosman,Anita,qstanton@example.com,669,France,Male,46
24,15625047,Yen,Roy,mcgrathrobert@example.com,846,France,Female,38
25,15738191,Maclean,William,fandersen@example.net,577,France,Male,25
26,15736816,Young,Victoria,ledwards@example.org,756,Germany,Male,36
27,15700772,Nebechi,Diane,yhansen@example.com,571,France,Male,44
28,15728693,McWilliams,Corey,msanders@example.org,574,Germany,Female,43
29,15656300,Lucciano,Brenda,hwilliams@example.org,411,France,Male,29
30,15589475,Azikiwe,Susan,christinathomas@example.org,591,Spain,Female,39
31,15706552,Odinakachukwu,Courtney,anna65@example.net,533,France,Male,36
32,15750181,Sanderson,Christopher,jacob47@example.org,553,Germany,Male,41
33,15659428,Maggard,Edward,dawsonbryan@example.org,520,Spain,Female,42
34,15732963,Clements,Amy,derek28@example.net,722,Spain,Female,29
35,15794171,Lombardo,Lisa,alejandroharper@example.com,475,France,Female,45
36,15788448,Watson,Gabriela,colemercedes@example.com,490,Spain,Male,31
37,15729599,Lorenzo,Thomas,melanie20@example.net,804,Spain,Male,33
38,15717426,Armstrong,Christopher,bentleydanny@example.com,850,France,Male,36
39,15585768,Cameron,Kendra,williamsonmelinda@example.com,582,Germany,Male,41
40,15619360,Hsiao,Amy,bobmitchell@example.com,472,Spain,Male,40
41,15738148,Clarke,Patricia,rochacarl@example.org,465,France,Female,51
42,15687946,Osborne,Michael,bartonvictoria@example.net,556,France,Female,61
43,15755196,Lavine,Susan,joseph60@example.org,834,France,Female,49
44,15684171,Bianchi,Melissa,ricky47@example.org,660,Spain,Female,61
45,15754849,Tyler,Ethan,carlosmckee@example.com,776,Germany,Female,32
46,15602280,Martin,Emily,millsmaria@example.com,829,Germany,Female,27
47,15771573,Okagbue,Nicole,willie25@example.com,637,Germany,Female,39
48,15766205,Yin,Rebecca,ronaldreyes@example.net,550,Germany,Male,38
49,15771873,Buccho,Jeffrey,bmiller@example.net,776,Germany,Female,37
50,15616550,Chidiebele,Edward,scott63@example.com,698,Germany,Male,44
51,15768193,Trevisani,Jill,erin52@example.org,585,Germany,Male,36
52,15683553,O'Brien,Dale,boyerdavid@example.net,788,France,Female,33
53,15702298,Parkhill,Jonathan,tracey13@example.org,655,Germany,Male,41
54,15569590,Yoo,Kim,robert46@example.com,601,Germany,Male,42
55,15760861,Phillipps,Sheryl,tstephenson@example.net,619,France,Male,43
56,15630053,Tsao,Connor,peterpowell@example.org,656,France,Male,45
57,15647091,Endrizzi,Daniel,justincaldwell@example.com,725,Germany,Male,19
58,15623944,T'ien,Sheila,ifrazier@example.net,511,Spain,Female,66
59,15804771,Velazquez,Jonathan,joanna96@example.net,614,France,Male,51
60,15651280,Hunter,John,ginamorgan@example.org,742,Germany,Male,35
61,15773469,Clark,Robert,danielcunningham@example.org,687,Germany,Female,27
62,15702014,Jeffrey,Timothy,evansbeverly@example.com,555,Spain,Male,33
63,15751208,Pirozzi,Karen,george62@example.com,684,Spain,Male,56
64,15592461,Jackson,Samantha,mikemiller@example.net,603,Germany,Male,26
65,15789484,Hammond,Tiffany,benjaminferrell@example.org,751,Germany,Female,36
66,15696061,Brownless,Cheyenne,zyoung@example.com,581,Germany,Female,34
67,15641582,Chibugo,Sean,kristopherjones@example.net,735,Germany,Male,43
68,15638424,Glauert,Brooke,warrenkelly@example.org,661,Germany,Female,35
69,15755648,Pisano,Lisa,angelicareeves@example.org,675,France,Female,21
70,15703793,Konovalova,Steven,asolis@example.net,738,Germany,Male,58
71,15620344,McKee,Michelle,coxteresa@example.org,813,France,Male,29
72,15812518,Palermo,Tammy,ohanson@example.com,657,Spain,Female,37
73,15779052,Ballard,Sandra,williamsmary@example.com,604,Germany,Female,25
74,15770811,Wallace,Ronald,millermichael@example.com,519,France,Male,36
75,15780961,Cavenagh,Tyler,pricemark@example.net,735,France,Female,21
76,15614049,Hu,Megan,kellycurtis@example.net,664,France,Male,55
77,15662085,Read,Hannah,destiny61@example.net,678,France,Female,32
78,15575185,Bushell,Nicole,uallen@example.org,757,Spain,Male,33
79,15803136,Postle,Willie,anthonyduffy@example.com,416,Germany,Female,41
80,15706021,Buley,Christina,pkeller@example.org,665,France,Female,34
81,15663706,Leonard,Brandon,kcastillo@example.org,777,France,Female,32
82,15641732,Mills,Nancy,nhall@example.com,543,France,Female,36
83,15701164,Onyeorulu,Linda,michael23@example.net,506,France,Female,34
84,15738751,Beit,Robert,casey57@example.org,493,France,Female,46
85,15805254,Ndukaku,Cynthia,cory14@example.org,652,Spain,Female,75
86,15762418,Gant,Elizabeth,wsmith@example.com,750,Spain,Male,22
