,CustomerId,Surname,Name,Email,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,SalaryDolar,AnioNacimiento,Generaciones,InicialGender,Fidelidad
0,15634602,Hargrave,Christopher,mataantonio@example.net,619,France,Female,42,2,0.0,1,1,1,101348.88,1,110470.27920000002,1982,Millennials,F,Regulares
1,15647311,Hill,Stephanie,jamesbaker@example.net,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,122671.4122,1983,Millennials,F,Nuevos
2,15619304,Onio,Julie,kathryn47@example.org,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,124185.41130000002,1982,Millennials,F,Leales
3,15701354,Boni,Jennifer,philipmurphy@example.com,699,France,Female,39,1,0.0,2,0,0,93826.63,0,102271.02670000002,1985,Millennials,F,Nuevos
4,15737888,Mitchell,Hailey,xmorrison@example.org,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,86201.66900000001,1981,Millennials,F,Regulares
5,15574012,Chu,Kathleen,boydlynn@example.com,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,163234.8139,1980,Generacion X,M,Leales
6,15592531,Bartlett,Jennifer,beth81@example.com,822,France,Male,50,7,0.0,2,1,1,10062.8,0,10968.452,1974,Generacion X,M,Leales
7,15656148,Obinna,Karen,angeladavis@example.org,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,130088.09920000001,1995,Millennials,F,Regulares
8,15792365,He,Krystal,amybenton@example.org,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,81685.145,1980,Generacion X,M,Regulares
9,15592389,Hiroshi,Andrea,kevin48@example.net,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,78181.0457,1997,Generacion Z,M,Regulares
10,15767821,Bearce,Jeremy,emily75@example.net,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,87397.4208,1993,Millennials,M,Leales
11,15737173,Andrews,David,andreasmith@example.org,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,83265.1109,2000,Generacion Z,M,Regulares
12,15632264,Kay,Tony,fwalker@example.net,476,France,Female,34,10,0.0,2,1,0,26260.98,0,28624.468200000003,1990,Millennials,F,Muy leales
13,15691483,Chin,Pamela,cathyconway@example.net,549,France,Female,25,5,0.0,2,0,0,190857.79,0,208034.9911,1999,Generacion Z,F,Regulares
14,15600882,Scott,Lisa,twhite@example.org,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,71887.2985,1989,Millennials,F,Leales
15,15643966,Goforth,Natalie,alexandriabarrett@example.com,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,70116.71340000001,1979,Generacion X,M,Regulares
16,15737452,Romeo,Aaron,paulwelch@example.net,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,5556.460300000001,1966,Generacion X,M,Nuevos
